City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
166,rundu,-17.9333,19.7667,52.86,37,0,5.91,NA,1690347468
167,jaca,42.569,-0.5499,54.99,85,12,4.83,ES,1690347468
168,georgetown,5.4112,100.3354,91.33,74,40,5.75,MY,1690347368
169,salalah,17.0151,54.0924,76.12,91,100,10.25,OM,1690347469
170,iskateley,67.6803,53.1512,66.78,68,75,1.3,RU,1690347469
171,lorengau,-2.0226,147.2712,83.71,74,82,16.89,PG,1690347469
172,nuuk,64.1835,-51.7216,40.87,93,20,13.0,GL,1690347470
173,ust-nera,64.5667,143.2,66.63,54,70,5.61,RU,1690347470
174,santa maria del oro,25.9333,-105.3667,73.67,47,90,4.03,MX,1690347470
175,naze,28.3667,129.4833,85.12,82,71,13.87,JP,1690347470
176,northam,51.0333,-4.2167,52.39,94,43,6.53,GB,1690347470
177,vilyuchinsk,52.9306,158.4028,73.67,74,30,5.64,RU,1690347470
178,chebba,35.2372,11.115,80.74,70,4,21.41,TN,1690347471
179,barreirinha,-2.7933,-57.07,75.99,62,10,0.78,BR,1690347471
180,haiku-pauwela,20.9219,-156.3051,78.82,76,40,20.71,US,1690347471
181,port saint john's,-31.6229,29.5448,60.06,43,100,7.34,ZA,1690347471
182,kodiak,57.79,-152.4072,62.11,72,0,6.91,US,1690347471
183,yelizovo,53.1873,158.3805,73.54,56,20,13.42,RU,1690347472
184,al wafrah,28.6392,47.9306,104.7,8,65,6.04,KW,1690347472
185,kenai,60.5544,-151.2583,64.49,83,0,10.36,US,1690347472
186,corning,42.1428,-77.0547,66.58,96,0,0.0,US,1690347472
187,nuestra senora del rosario de caa cati,-27.7507,-57.6207,61.25,82,98,4.05,AR,1690347472
188,ca mau,9.1769,105.15,88.7,60,66,13.78,VN,1690347473
189,bure,10.7,37.0667,59.92,88,100,1.21,ET,1690347473
190,fallon,39.4735,-118.7774,85.87,9,40,9.22,US,1690347473
191,codrington,-38.2667,141.9667,57.96,67,100,6.93,AU,1690347473
192,perevoz,55.5961,44.5446,67.98,86,93,8.39,RU,1690347473
193,tolanaro,-25.0319,46.9987,68.07,56,40,10.36,MG,1690347474
194,jijiga,9.35,42.8,66.16,69,69,22.59,ET,1690347474
195,vadso,70.0744,29.7487,50.88,93,75,5.75,NO,1690347474
196,bom jesus,-9.0744,-44.3586,65.37,50,15,0.29,BR,1690347474
197,mugia,43.1041,-9.2179,61.92,91,80,5.91,ES,1690347475
198,tazovsky,67.4667,78.7,64.98,53,71,12.53,RU,1690347475
199,kimbe,-5.5502,150.1429,86.85,58,96,12.33,PG,1690347475
200,bonthe,7.5264,-12.505,74.97,92,91,0.34,SL,1690347476
201,lompoc,34.6391,-120.4579,69.94,91,75,3.44,US,1690347476
202,vilyuysk,63.7553,121.6247,74.53,33,41,6.89,RU,1690347476
203,ulladulla,-35.35,150.4667,61.09,52,2,8.5,AU,1690347476
204,puerto aysen,-45.4,-72.7,39.02,99,100,3.56,CL,1690347476
205,maues,-3.3836,-57.7186,75.7,59,7,2.46,BR,1690347477
206,amga,60.8953,131.9608,80.87,34,1,8.9,RU,1690347477
207,ciudad sabinas hidalgo,26.5,-100.1667,81.59,62,0,9.44,MX,1690347477
208,goundam,16.4145,-3.6708,85.75,44,37,12.75,ML,1690347477
209,tofol,5.3248,163.0078,83.05,73,92,3.62,FM,1690347477
210,alofi,-19.0595,-169.9187,73.29,68,25,4.61,NU,1690347478
211,villa mercedes,-33.6757,-65.4578,48.45,68,0,6.08,AR,1690347478
212,balykshi,47.0667,51.8667,77.0,65,0,11.18,KZ,1690347478
213,wailua homesteads,22.0669,-159.378,81.03,86,100,14.97,US,1690347478
214,port blair,11.6667,92.75,87.84,74,75,13.8,IN,1690347478
215,afaahiti,-17.75,-149.2833,75.07,86,2,11.9,PF,1690347479
216,port alfred,-33.5906,26.891,60.69,30,0,8.37,ZA,1690347479
217,aitape,-3.1374,142.3475,85.24,66,50,7.56,PG,1690347479
218,san jose del guaviare,2.5729,-72.6459,71.87,96,81,2.06,CO,1690347479
219,chibougamau,49.9168,-74.3659,58.62,77,0,4.92,CA,1690347479
220,obihiro,42.9172,143.2044,94.41,56,0,7.83,JP,1690347479
221,udachny,66.4167,112.4,70.45,56,100,9.17,RU,1690347480
222,vanimo,-2.6741,141.3028,82.47,78,63,6.93,PG,1690347480
223,lycksele,64.5954,18.6735,55.44,94,75,2.3,SE,1690347480
224,la ronge,55.1001,-105.2842,66.45,68,75,13.8,CA,1690347480
225,polyarnyy,69.1989,33.4478,51.55,92,99,5.66,RU,1690347480
226,borodulikha,50.7184,80.9295,83.68,25,43,8.23,KZ,1690347481
227,san luis de la loma,17.2706,-100.8939,80.31,83,95,3.8,MX,1690347481
228,constantia,44.1833,28.65,77.7,67,10,26.15,RO,1690347246
229,rawai,7.7797,98.3253,86.99,74,96,17.4,TH,1690347481
230,suva,-18.1416,178.4415,72.88,88,75,3.44,FJ,1690347481
231,fortuna,40.5982,-124.1573,61.14,94,100,6.91,US,1690347482
232,sandnessjoen,66.0217,12.6316,60.91,88,75,2.3,NO,1690347482
233,flying fish cove,-10.4217,105.6791,80.28,78,75,12.66,CX,1690347482
234,la sarre,48.8002,-79.1996,58.42,69,15,5.61,CA,1690347482
235,camacupa,-12.0167,17.4833,54.23,40,2,2.64,AO,1690347483
236,tefe,-3.3542,-64.7114,79.57,62,85,1.97,BR,1690347483
237,nemuro,43.3236,145.575,66.09,95,79,7.02,JP,1690347483
238,selkirk,50.1436,-96.8845,75.27,83,98,4.5,CA,1690347484
239,port mathurin,-19.6833,63.4167,74.32,79,89,13.94,MU,1690347484
240,saipan,15.1355,145.701,81.3,100,100,9.22,MP,1690347484
241,berdigestyakh,62.0989,126.6992,77.5,32,8,10.42,RU,1690347484
242,gourcy,13.2167,-2.35,80.4,68,28,11.63,BF,1690347485
243,sarkand,45.41,79.9186,97.52,9,26,8.63,KZ,1690347485
244,malvan,16.0667,73.4667,78.33,88,100,17.94,IN,1690347485
245,weno,7.4515,151.8468,85.95,84,100,5.75,FM,1690347485
246,baise city,23.8997,106.6133,92.86,61,63,3.33,CN,1690347485
247,labrador city,52.9463,-66.9114,55.31,94,100,3.44,CA,1690347486
248,coahuayana de hidalgo,18.7,-103.6583,79.43,86,96,3.24,MX,1690347486
249,kayes,14.0,-11.0,74.91,92,100,5.79,ML,1690347486
250,kirakira,-10.4544,161.9205,82.09,82,77,13.78,SB,1690347487
251,lysyye gory,51.5506,44.8414,73.81,56,69,8.7,RU,1690347487
252,trenggalek,-8.05,111.7167,84.74,100,82,8.9,ID,1690347487
253,embi,48.8264,58.1442,72.12,67,67,12.73,KZ,1690347487
254,fereydunshahr,32.941,50.121,73.51,17,0,2.66,IR,1690347488
255,coquimbo,-29.9533,-71.3436,57.65,77,83,4.18,CL,1690347197
256,richards bay,-28.783,32.0377,61.75,79,97,15.19,ZA,1690347488
257,taltal,-25.4,-70.4833,58.1,82,4,4.21,CL,1690347488
258,fort mcmurray,56.7268,-111.381,62.19,82,75,11.5,CA,1690347489
259,port moresby,-9.4431,147.1797,85.42,62,40,11.5,PG,1690347489
260,mersrags,57.3354,23.1246,60.71,79,90,6.85,LV,1690347489
261,williams lake,52.1415,-122.1445,54.97,81,75,3.44,CA,1690347489
262,halifax,44.6453,-63.5724,68.0,90,32,16.11,CA,1690347490
263,mendoza,-32.8908,-68.8272,45.93,53,0,3.44,AR,1690347442
264,callao,-12.0667,-77.15,68.29,77,100,10.36,PE,1690347210
265,celestun,20.8667,-90.4,82.22,76,63,15.7,MX,1690347490
266,dolores,-36.3132,-57.6792,50.63,97,100,2.19,AR,1690347491
267,avarua,-21.2078,-159.775,71.65,68,20,3.44,CK,1690347491
268,yerofey pavlovich,53.9667,121.9667,84.09,38,14,4.74,RU,1690347491
269,monrovia,6.3005,-10.7969,74.97,91,99,0.76,LR,1690346904
270,warrnambool,-38.3833,142.4833,57.43,66,100,7.11,AU,1690347263
271,kristiansund,63.1115,7.732,59.65,82,0,3.44,NO,1690347492
272,kindu,-2.95,25.95,69.55,69,21,2.28,CD,1690347492
273,noosa heads,-26.3833,153.15,67.33,62,96,16.49,AU,1690347311
274,tual,-5.6667,132.75,78.15,80,99,19.57,ID,1690347493
275,dhidhdhoo,6.8833,73.1,82.38,74,100,9.51,MV,1690347493
276,kailua-kona,19.6406,-155.9956,84.16,83,100,5.75,US,1690347493
277,champasak,14.75,106.0,77.88,67,90,3.47,LA,1690347493
278,ilabaya,-17.4208,-70.5133,60.13,51,1,2.21,PE,1690347493
279,majene,-3.5403,118.9707,85.19,62,14,9.35,ID,1690347494
280,dryden,49.7833,-92.7503,64.69,88,100,4.61,CA,1690347494
281,gifu-shi,35.4229,136.7604,90.48,39,49,3.04,JP,1690347441
282,arafat,21.3594,39.9664,100.6,12,67,1.66,SA,1690347494
283,newman,37.3138,-121.0208,84.43,38,0,4.0,US,1690347495
284,chonchi,-42.6128,-73.8092,44.11,95,59,2.13,CL,1690347495
285,vorgashor,67.5833,63.95,68.86,65,100,8.28,RU,1690347495
286,deoria,26.5047,83.7872,96.21,48,91,8.86,IN,1690347497
287,hilo,19.7297,-155.09,78.53,88,100,9.22,US,1690347497
288,puerto asis,0.5133,-76.5007,72.09,88,100,2.28,CO,1690347497
289,cannonvale,-20.2833,148.7,67.39,65,16,21.39,AU,1690347497
290,isabela,6.7085,121.9711,91.45,69,81,12.24,PH,1690347498
291,tralee,52.2704,-9.7026,57.56,97,100,5.14,IE,1690347498
292,o carballino,42.4316,-8.079,55.22,98,2,3.22,ES,1690347498
293,nar'yan-mar,67.6713,53.087,66.78,68,77,1.01,RU,1690347499
294,san sebastian de la gomera,28.0916,-17.1133,74.37,73,0,6.91,ES,1690347499
295,novyy urgal,51.0736,132.5642,78.89,63,88,8.14,RU,1690347499
296,hun,29.1268,15.9477,86.27,17,0,2.77,LY,1690347499
297,crane,31.3974,-102.3501,85.46,33,63,8.68,US,1690347499
298,fale old settlement,-9.3852,-171.2468,83.44,74,7,17.27,TK,1690347500
299,lubao,14.9167,120.55,84.27,84,100,18.77,PH,1690347500
300,ibi,38.6253,-0.5723,72.57,87,32,4.68,ES,1690347500
301,carnarvon,-24.8667,113.6333,65.07,52,74,14.97,AU,1690347500
302,fort stockton,30.894,-102.8793,82.17,34,46,11.25,US,1690347501
303,trinity beach,-16.7888,145.6968,83.01,88,100,14.97,AU,1690347501
304,minas de marcona,-15.2119,-75.1103,53.26,88,60,14.07,PE,1690347501
305,angra do heroismo,38.65,-27.2167,71.11,88,40,5.19,PT,1690347501
306,tarutyne,46.1858,29.1506,78.42,61,54,21.79,UA,1690347502
307,susuman,62.7833,148.1667,66.24,61,100,8.52,RU,1690347502
308,smithers,54.7804,-127.1743,62.92,63,75,4.61,CA,1690347502
309,wigan,53.5333,-2.6167,56.48,86,78,1.99,GB,1690347503
310,swakopmund,-22.6833,14.5333,53.98,85,0,1.01,NA,1690347503
311,mukalla,14.5425,49.1242,87.89,64,32,4.94,YE,1690347503
312,tazacorte,28.629,-17.9293,72.57,90,100,12.66,ES,1690347503
